123.07177763559044
0.6972296579701295
+--------------------+-----------------+
|            features|       prediction|
+--------------------+-----------------+
|[7.233504128E7,12...|79.56793669941442|
|[7.266255112E7,39...|80.11363104164434|
|[7.282109737E7,55...|80.74002537188903|
|[7.288930112E7,45...|79.09343646033494|
|[7.293093378E7,50...|79.42156276882224|
|[7.294932487E7,51...|79.35892152979477|
|[7.304158503E7,54...|79.01524319015914|
|[7.311936566E7,55...|78.53245974962203|
|[7.319945081E7,54...|77.89262209356832|
|[7.325121034E7,54...|77.50453900425975|
|[7.327682566E7,53...|77.15454438769245|
|[7.332857941E7,50...|76.42245500797185|
|[7.338166081E7,50...|76.04595099028029|
|[7.340964347E7,62...|77.20453528750772|
|[7.343629534E7,61...|76.91336781079667|
|[7.35690455E7,585...|75.54028819437417|
|[7.361877081E7,60...|75.35913385842991|
|[7.3668233E7,5782.0]|74.72421645826876|
|[7.372256816E7,59...|74.51095533846603|
|[7.377450206E7,66...|74.88299320622048|
+--------------------+-----------------+
only showing top 20 rows
