"01-2016"	6.106607047719591e+19
"01-2018"	1.11645727207502e+19
"02-2017"	5.558009016262998e+19
"02-2019"	3.980845264511403e+18
"03-2016"	4.587940593561187e+19
"03-2018"	2.7292981690954767e+18
"04-2017"	1.1102866776414917e+20
"04-2019"	4.1346612995334216e+18
"05-2016"	4.710482015183497e+19
"05-2018"	2.496999942396033e+18
"06-2017"	5.679086208124881e+19
"06-2019"	3.03565822278106e+18
"07-2016"	9.615239675838104e+19
"07-2018"	2.274899868067751e+18
"08-2015"	4.830278498461239e+20
"08-2017"	4.827696056983337e+19
"09-2016"	3.2645344559816933e+19
"09-2018"	3.729156680838141e+18
"10-2016"	3.243501960145934e+19
"10-2018"	3.071710223249729e+18
"11-2015"	5.948474386250283e+19
"11-2017"	2.96411032747405e+19
"12-2016"	6.146658677538069e+19
"12-2018"	5.944894163484742e+18
"01-2017"	5.620285956535166e+19
"01-2019"	4.454813888902492e+18
"02-2016"	6.55476087599054e+19
"02-2018"	6.230362795090817e+18
"03-2017"	1.770019614632263e+20
"03-2019"	3.82001025199019e+18
"04-2016"	2.258293459946353e+19
"04-2018"	2.449338018958015e+18
"05-2017"	1.253013552012346e+20
"05-2019"	4.0041423421996964e+18
"06-2016"	3.05045289883952e+19
"06-2018"	2.8093034784699515e+18
"07-2017"	6.4943127187730784e+19
"08-2016"	5.884337037279917e+19
"08-2018"	2.3998220839240796e+18
"09-2015"	7.047276356817186e+19
"09-2017"	3.442063270447764e+19
"10-2015"	7.411289229426749e+19
"10-2017"	2.6731107087869956e+19
"11-2016"	3.964431643835122e+19
"11-2018"	5.397909048901716e+18
"12-2015"	2.6764096183940583e+19
"12-2017"	1.3737046580115218e+19
